Date,Open,High,Low,Close,Adj Close,Volume
2017-04-05,5911.92,5936.39,5856.26,5864.48,5864.48,2204490000.0
2017-04-06,5870.52,5889.58,5856.22,5878.95,5878.95,1845800000.0
2017-04-07,5873.94,5892.07,5855.51,5877.81,5877.81,1692150000.0
2017-04-10,5883.43,5907.85,5865.56,5880.93,5880.93,1630070000.0
2017-04-11,5871.16,5878.94,5819.29,5866.77,5866.77,1821650000.0
2017-04-12,5863.59,5868.09,5830.44,5836.16,5836.16,1658960000.0
2017-04-13,5828.37,5856.54,5805.15,5805.15,5805.15,1581870000.0
2017-04-17,5821.55,5856.79,5818.2,5856.79,5856.79,1381290000.0
2017-04-18,5838.59,5860.04,5828.57,5849.47,5849.47,1608870000.0
2017-04-19,5874.43,5894.68,5856.34,5863.03,5863.03,1752620000.0
2017-04-20,5887.87,5926.23,5880.2,5916.78,5916.78,1749110000.0
2017-04-21,5919.02,5919.23,5899.43,5910.52,5910.52,1723210000.0
2017-04-24,5979.96,5989.92,5970.25,5983.82,5983.82,1836570000.0
2017-04-25,6004.16,6036.02,6002.65,6025.49,6025.49,1895430000.0
2017-04-26,6028.12,6040.89,6021.72,6025.23,6025.23,1894210000.0
2017-04-27,6038.47,6050.7,6031.59,6048.94,6048.94,1876700000.0
2017-04-28,6072.87,6074.04,6040.71,6047.61,6047.61,1995160000.0
2017-05-01,6067.56,6100.73,6061.35,6091.6,6091.6,1757000000.0
2017-05-02,6102.51,6102.72,6081.56,6095.37,6095.37,2146730000.0
2017-05-03,6075.04,6076.96,6053.28,6072.55,6072.55,2149360000.0
2017-05-04,6075.06,6080.82,6054.33,6075.34,6075.34,2056270000.0
2017-05-05,6091.69,6100.76,6067.16,6100.76,6100.76,1899570000.0
2017-05-08,6100.66,6106.12,6083.06,6102.66,6102.66,1909710000.0
2017-05-09,6111.82,6133.0,6107.59,6120.59,6120.59,1997490000.0
2017-05-10,6121.64,6131.64,6103.87,6129.14,6129.14,2108000000.0
2017-05-11,6110.05,6120.2,6075.68,6115.96,6115.96,1950910000.0
2017-05-12,6119.27,6122.84,6105.42,6121.23,6121.23,1740960000.0
2017-05-15,6128.11,6153.04,6124.79,6149.67,6149.67,1850790000.0
2017-05-16,6160.52,6170.16,6139.1,6169.87,6169.87,1999330000.0
2017-05-17,6108.62,6122.87,6009.48,6011.24,6011.24,2347480000.0
2017-05-18,5998.46,6073.45,5996.81,6055.13,6055.13,2131520000.0
2017-05-19,6070.23,6106.55,6070.23,6083.7,6083.7,1905520000.0
2017-05-22,6098.25,6135.92,6097.24,6133.62,6133.62,1726230000.0
2017-05-23,6149.55,6150.91,6121.79,6138.71,6138.71,1705860000.0
2017-05-24,6154.18,6166.09,6139.33,6163.02,6163.02,1666050000.0
2017-05-25,6183.02,6217.34,6174.52,6205.26,6205.26,1767690000.0
2017-05-26,6207.04,6211.52,6196.66,6210.19,6210.19,1571040000.0
2017-05-30,6204.18,6217.13,6200.41,6203.19,6203.19,1688480000.0
2017-05-31,6221.63,6221.99,6164.07,6198.52,6198.52,2209400000.0
2017-06-01,6215.91,6247.07,6200.45,6246.83,6246.83,1943610000.0
2017-06-02,6261.59,6308.76,6253.77,6305.8,6305.8,1820000000.0
2017-06-05,6305.47,6310.62,6292.15,6295.68,6295.68,1739820000.0
2017-06-06,6281.88,6304.21,6269.87,6275.06,6275.06,1889690000.0
2017-06-07,6290.44,6302.78,6267.18,6297.38,6297.38,1822270000.0
2017-06-08,6311.73,6324.06,6282.93,6321.76,6321.76,2128780000.0
2017-06-09,6330.25,6341.7,6137.68,6207.92,6207.92,3152050000.0
2017-06-12,6153.56,6183.81,6110.67,6175.46,6175.46,2586540000.0
2017-06-13,6206.12,6226.41,6180.04,6220.37,6220.37,2062110000.0
